Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
005930,KR7005930003,삼성전자,KOSPI,,67000,2,-300,-0.45,66700,67100,66300,13096272,873861087600,399378452595000,5969782550,STK
373220,KR7373220003,LG에너지솔루션,KOSPI,,526000,2,-16000,-2.95,533000,540000,524000,288015,152610338000,123318000000000,234000000,STK
000660,KR7000660001,SK하이닉스,KOSPI,,115800,1,900,0.78,117200,118500,115000,3350180,390846924300,84521074576500,728002365,STK
207940,KR7207940008,삼성바이오로직스,KOSPI,,781000,2,-13000,-1.64,789000,790000,776000,44972,35126677000,55658068000000,71174000,STK
005490,KR7005490008,POSCO홀딩스,KOSPI,,546000,2,-31000,-5.37,570000,572000,544000,1636204,909778736000,46175891580000,84571230,STK
005935,KR7005931001,삼성전자우,KOSPI,,55000,2,-500,-0.9,54800,55400,54700,1879615,103125413500,45176479830000,822886700,STK
006400,KR7006400006,삼성SDI,KOSPI,,601000,2,-9000,-1.48,600000,616000,600000,186587,113175754000,41465011590000,68764530,STK
051910,KR7051910008,LG화학,KOSPI,,584000,2,-13000,-2.18,584000,601000,583000,289246,170599726000,41225928312000,70592343,STK
005380,KR7005380001,현대차,KOSPI,,185800,2,-3000,-1.59,186900,188100,185300,561401,104661722150,39281400664200,211531506,STK
035420,KR7035420009,NAVER,KOSPI,,222500,1,1500,0.68,219500,225500,218000,936244,208304969500,36418896870000,164049085,STK
003670,KR7003670007,포스코퓨처엠,KOSPI,,410500,2,-23500,-5.41,426000,429500,410000,580414,242551204000,31837383420000,77463220,STK
000270,KR7000270009,기아,KOSPI,,78000,2,-700,-0.89,77900,79000,77900,698749,54601209500,31319243413700,402044203,STK
247540,KR7247540008,에코프로비엠,KOSDAQ GLOBAL,우량기업부,303500,2,-14500,-4.56,312000,318000,301500,1038042,320287480500,29731608576000,97801344,KSQ
086520,KR7086520004,에코프로,KOSDAQ,우량기업부,1023000,2,-70000,-6.4,1083000,1116000,1023000,680181,723998210000,27426498040000,26627668,KSQ
035720,KR7035720002,카카오,KOSPI,,50300,2,-400,-0.79,50300,51100,49850,1115098,56288997400,22350859827000,444351090,STK
012330,KR7012330007,현대모비스,KOSPI,,229000,2,-4000,-1.72,230000,232500,227500,144082,33074242500,21591286526000,94285094,STK
068270,KR7068270008,셀트리온,KOSPI,,145700,2,-8300,-5.39,150000,150400,144400,835366,122560773900,21374804420000,146402770,STK
105560,KR7105560007,KB금융,KOSPI,,51000,2,-600,-1.16,51000,51500,50800,828392,42244676100,20659766886400,403511072,STK
028260,KR7028260008,삼성물산,KOSPI,,103800,2,-700,-0.67,103500,104500,103200,229505,23827085000,19264415346000,185591670,STK
055550,KR7055550008,신한지주,KOSPI,,34550,2,-400,-1.14,34600,34700,34400,747635,25828476400,17960727638700,518347118,STK
096770,KR7096770003,SK이노베이션,KOSPI,,179400,2,-4800,-2.61,182000,185600,178600,551819,99935397000,16551335956000,92465564,STK
066570,KR7066570003,LG전자,KOSPI,,99600,2,-1900,-1.87,100500,100600,98900,997040,99433606300,16299322274400,163647814,STK
047050,KR7047050000,포스코인터내셔널,KOSPI,,86300,2,-4300,-4.75,88600,89200,85300,3566375,310715277400,15182136604400,175922788,STK
